@type|@id|name|place|is_in|@lat|@lon|population|sqkm
node|1379097053|Դաշտ|village||40.2272690|44.3002440||
node|1379097055|Ծիածան|village||40.1863719|44.2660080||
node|1379097072|Այգեշատ|village||40.2344680|44.2867010||
node|1379097077|Ամբերդ|village||40.2399890|44.2715000||
node|1380065760|Տարոնիկ|village||40.1334620|44.1988670||
node|1380065765|Բաղրամյան|village||40.1939379|44.3682006||
node|1380065780|Ջրարբի|village||40.0875009|44.2387749||
node|1380065788|Ակնաշեն|village||40.0955140|44.2860339||
node|1380065805|Ոսկեհատ|village||40.1426031|44.3315627||
node|1380065812|Մեծամոր Գյուղ|village||40.0727372|44.2897391||
node|1380065825|Գայ|village||40.0833282|44.3067747||
node|1380065842|Նորակերտ|village||40.1932416|44.3483878||
node|1380065844|Արտաշար|village||40.1085050|44.1831060||
node|1380065866|Առատաշեն|village||40.1291332|44.2268189||
node|1380065869|Այգեկ|village||40.1894291|44.3832132||
node|1380065882|Երասխահուն|village||40.0734470|44.2163931||
node|1380065884|Ապագա|village||40.0931682|44.2515935||
node|1380065901|Լուսագյուղ|village||40.0883787|44.2700062||
node|1380065913|Գրիբոեդով|village||40.1131914|44.2709999||
node|1380065926|Հայկաշեն|village||40.0718138|44.3076975||
node|1380065966|Մարգարա|village||40.0336959|44.1774585||
node|1380065969|Արտիմետ|village||40.1517779|44.2657667||
node|1381614656|Ներքին Բազմաբերդ|village|"Aragatsotn, Armenia, Asia"|40.3384882|44.0114263|1710|
node|1381614660|Ագարակ|village|"Aragatsotn, Armenia, Asia"|40.3323164|44.0700646||
node|1381640006|Արագածավան|village||40.3190651|43.6634102||
node|1381640034|Հակո|village||40.3850338|43.6927466||
node|1381640041|Գետափ|village||40.3853411|43.6172392||
node|1381640052|Կանչ|village||40.3815792|43.7295795||
node|1381658266|Սորիկ|village||40.4180507|43.7234285||
node|1381658331|Արևուտ|village||40.3625271|43.8095621||
node|1381684920|Աշնակ|village||40.3326734|43.9188740||
node|1381684926|Դդմասար|village||40.3424762|43.8264626||
node|1381684928|Լուսակն|village||40.2917626|43.8276538||
node|1404695478|Փանիկ|village||40.6617127|43.9718479||
node|1404695480|Մեղրաշեն|village||40.6694795|43.9581492||
node|1404695487|Գետափ|village||40.6599742|43.9953912||
node|1404700219|Հովտաշեն|village||40.6683920|43.8929668||
node|1404700220|Հոռոմ|village||40.6616279|43.8885835||
node|1404700221|Վարդաքար|village||40.6642983|43.9196714||
node|1404700222|Նոր Կյանք|village||40.6561601|43.9286193||
node|1404709514|Ալագյազ|village||40.6802028|44.2886943||
node|1404714164|Ռյա Թազա|village||40.6567813|44.3008824||
node|1404720721|Վարդաբլուր|village||40.6747437|44.2457877||
node|1404726246|Գեղաձոր|village||40.6335533|44.1721537||
node|1404726983|Հնաբերդ|village||40.6352729|44.1424799||
node|1404735733|Բերքառատ|village||40.6754264|44.1689936||
node|1404776751|Ձորակապ|village||40.5696294|43.8799868||
node|1404777696|Սառնաղբյուր|village||40.5241375|43.9076751||
node|1404778496|Քարաբերդ|village||40.5434585|43.8309427|1276|
node|1404779527|Ձիթհանկով|village||40.5081347|43.8186526||
node|1404779595|Լանջիկ|village||40.5077432|43.8612246||
node|1406128446|Նորաշեն|village||40.6557666|44.0807576||
node|1406129947|Տուֆաշեն|village||40.6045388|43.9170375||
node|1410192184|Ծաղկահովիտ|village||40.6392116|44.2226852||
node|1410208935|Արևշատ|village||40.6527231|44.0448054||
node|1410209525|Մեծ Մանթաշ|village||40.6453340|44.0560551||
node|1410209738|Փոքր Մանթաշ|village||40.6404040|44.0434074||
node|1410214874|Սպանդարյան|village||40.6616436|44.0220023||
node|1410338776|Հառիճ|village||40.6078779|44.0023026||
node|1410340096|Նահապետավան|village||40.6078779|44.0148101||
node|1411522997|Լեռնակերտ|village||40.5616530|43.9391868||
node|1413358276|Սարալանջ|village||40.6208158|44.0206176||
node|1413380398|Այգեբաց|village||40.7020573|43.9058463||
node|1414445007|Կամո|village||40.8255979|43.9496088||
node|1414844181|Կառնուտ|village||40.7827831|43.9553808||
node|1414867638|Ախուրյան|village||40.7786171|43.8996682||
node|1415979807|Ոսկեհասկ|village||40.7616989|43.7760322||
node|1415979811|Ախուրիկ|village||40.7442347|43.7770408||
node|1415982585|Երազգավորս|village||40.7035847|43.7757748||
node|1415982590|Բայանդուր|village||40.6940516|43.7681809||
node|1415987000|Լուսաղբյուր|village||40.6382345|43.7429885||
node|1415987001|Գուսանագյուղ|village||40.6647377|43.7906889||
node|1416053609|Բարձրաշեն|village||40.5937251|43.7404147||
node|1417357565|Փոքրաշեն|village||40.8907077|43.8735665||
node|1417357566|Քեթի|village||40.8736621|43.8447682||
node|1417385896|Արփենի|village||40.9162024|43.9033932||
node|1418158624|Բերդաշեն|village||41.0569393|43.6700233||
node|1418174042|Զարիշատ|village||40.9989074|43.6587151|108|
node|1418175344|Երիզակ|village||40.9809451|43.6424931||
node|1418186895|Ամասիա|village||40.9573106|43.7856103||
node|1418187945|Ցողամարգ|village||40.9477288|43.8575633||
node|1418201608|Լուսակերտ|village||40.6735430|43.8571428||
node|1426317578|Հայանիստ|village||40.1217400|44.3726711|2117|
node|1426317634|Հովտաշատ|village||40.1032032|44.3443913|3207|
node|1431670372|Սիս|village||40.0593987|44.3827561|1201|
node|1431687869|Սայաթ–Նովա|village||40.0735565|44.3990564|1886|
node|1431694960|Զորակ|village||40.0917473|44.3935417|1783|
node|1431694961|Նիզամի|village||40.0918433|44.4039562|1327|
node|1431709083|Դաշտավան|village||40.1004444|44.3913820|1970|
node|1431709087|Խաչփառ|village||40.1237473|44.4013813|2049|
node|1431709094|Արբաթ|village||40.1393001|44.4008663|2058|
node|1431709108|Դարբնիկ|village||40.1086818|44.3795395|1214|
node|1435419875|Լճաշեն|village||40.5183509|44.9333111||
node|1435471104|Գագարին|village||40.5406328|44.8695646||
node|1435471105|Վարսեր|village||40.5533712|44.9170837||
node|1435471119|Գեղամավան|village||40.5636335|44.8880344||
node|1438261406|Շենավան|village||40.4829024|44.3847752||
node|1438261414|Արագած|village||40.4924331|44.3537904||
node|1438261417|Վարդենուտ|village||40.4698446|44.3668366||
node|1438261424|Ծաղկաշեն|village||40.5031528|44.3550937||
node|1438261426|Քուչակ|village||40.5171526|44.3906342||
node|1438261427|Հարթավան|village||40.4775347|44.3998164||
node|1438263176|Արա|village||40.4560332|44.3744756||
node|1438263177|Ափնագյուղ|village||40.4391095|44.3922992||
node|1438271739|Արտաշավան|village||40.3878585|44.3828526||
node|1438271740|Կարբի|village||40.3299561|44.3764101||
node|1438271741|Ուշի|village||40.3489783|44.3751203||
node|1438271742|Սաղմոսավան|village||40.3808859|44.3938303|198|
node|1438343799|Նոր Խարբերդ|village||40.0896697|44.4792319|7366|
node|1438386777|Զոլաքար|village||40.1300849|45.3763085||
node|1438386778|Ծովինար|village||40.1589519|45.4674788||
node|1438386779|Աստղաձոր|village||40.1222095|45.3575974||
node|1438386780|Վաղաշեն|village||40.1371720|45.3301316||
node|1438386781|Վարդենիկ|village||40.1391405|45.4308968||
node|1438386782|Արծվանիստ|village||40.1572481|45.5014497||
node|1438431360|Ծովակ|village||40.1856331|45.6276746||
node|1438431361|Կարճաղբյուր|village||40.1667916|45.5784359||
node|1438462837|Գեղամասար|village||40.3110986|45.6811791||
node|1438462854|Փոքր Մասրիկ|village||40.2593736|45.7232362||
node|1438538505|Փամբակ|village||40.3796549|45.5316621||
node|1438538506|Ավազան|village||40.3036369|45.7043534||
node|1438538507|Դարանակ|village||40.3664452|45.5695992||
node|1438538508|Շորժա|village||40.5024434|45.2753459||
node|1438538509|Ջիլ|village||40.4529748|45.4497796||
node|1438538510|Ծափաթաղ|village||40.4105639|45.4742099||
node|1438538511|Աղբերք|village||40.5300685|45.2800862||
node|1438538512|Արեգունի|village||40.3380584|45.6082230||
node|1438577656|Լերմոնտովո|village||40.7592392|44.6342164|791|
node|1438578001|Ծովագյուղ|village||40.6320818|44.9583131||
