province,region,region_lat,region_lng,search_address,address_lat,address_lng
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Բրյուսով Թղմ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Խուդյակովի 5 Նրբ",40.214605799999994,44.5786207
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Չարենց Թղմ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Թամրուչի Փ",40.213795700000006,44.579961499999996
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Ռուբինյանց Փ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Ծարավ Աղբյուրի Փ.   61 Հանր",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Ծարավ Աղբյուրի Փ. 117/5 Շ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Ծարավ Աղբյուրի Փ. 119/9 Շ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Ծարավ Աղբյուրի Փ. 129/6 Շ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Դուրյան Թղմ",40.157962,44.461938
ԵՐԵՎԱՆ,ԱՎԱՆ,40.3351948,44.1685681,"ԵՐԵՎԱՆ,ԱՎԱՆ,Սաֆարյան Փ",40.21194860000001,44.5734388
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Տիգրան Մեծի Փ",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Տիգրան Մեծի Նրբ",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Գլինկայի Փ",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Բեռնակիրների Փ",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Երկաթգծի Փ",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Աճեմյան Փկղ",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Աճեմյան Փ",40.1529148,44.513836700000006
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   44",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   43/3",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   43",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   52",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   51",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   49",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   50",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   39",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   35/2",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   41",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   60",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   59",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   52/1",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   69",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   68",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   66",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   55",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   54",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   53",40.157962,44.461938
ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,40.1434254,44.5336231,"ԵՐԵՎԱՆ,ԷՐԵԲՈՒՆԻ,Սարիթաղ 2 Շարք   58",40.157962,44.461938
