province,region,search_region,region_lat,region_lng
ԱՐԱՐԱՏ,ՄՐԳԱՎԵՏ,"ԱՐԱՐԱՏ,ՄՐԳԱՎԵՏ",40.0289447,44.4813042
ԱՐԱՐԱՏ,ՄՐԳԱՎԱՆ,"ԱՐԱՐԱՏ,ՄՐԳԱՎԱՆ",39.9725865,44.5347609
ԱՐԱՐԱՏ,Գ.ՄԱՍԻՍ,"ԱՐԱՐԱՏ,Գ.ՄԱՍԻՍ",40.0617279,44.4427915
ԱՐԱՐԱՏ,ՀՆԱԲԵՐԴ,"ԱՐԱՐԱՏ,ՀՆԱԲԵՐԴ",40.00590715,44.5737419454795
ԱՐԱՐԱՏ,ՈՍՏԱՆ,"ԱՐԱՐԱՏ,ՈՍՏԱՆ",39.9655295,44.5590937
ԱՐԱՐԱՏ,ԴՎԻՆ,"ԱՐԱՐԱՏ,ԴՎԻՆ",40.0037663,44.5763966
ԱՐԱՐԱՏ,ՎԵՐԻՆ ԴՎԻՆ,"ԱՐԱՐԱՏ,ՎԵՐԻՆ ԴՎԻՆ",40.0260546,44.5888922
ԱՐԱՐԱՏ,ԱՐԱՐԱՏ,"ԱՐԱՐԱՏ,ԱՐԱՐԱՏ",39.8511645,44.7015606613593
ԱՐԱՐԱՏ,ՎԵԴԻ,"ԱՐԱՐԱՏ,ՎԵԴԻ",39.9138481,44.7224953
ԱՐԱՐԱՏ,ԱՐԱԼԵԶ,"ԱՐԱՐԱՏ,ԱՐԱԼԵԶ",39.9010589,44.6521522
ԱՐԱՐԱՏ,ԼՈՒՍԱՌԱՏ,"ԱՐԱՐԱՏ,ԼՈՒՍԱՌԱՏ",39.8734164,44.591705
ԱՐԱՐԱՏ,ՆՈՐ ՈՒՂԻ,"ԱՐԱՐԱՏ,ՆՈՐ ՈՒՂԻ",39.9260479,44.6365345
ԱՐԱՐԱՏ,ՆՈՐ ԿՅԱՆՔ,"ԱՐԱՐԱՏ,ՆՈՐ ԿՅԱՆՔ",39.9003116,44.6320994
ԱՐԱՐԱՏ,ՍԻՍԱՎԱՆ,"ԱՐԱՐԱՏ,ՍԻՍԱՎԱՆ",39.907085,44.6662553
ԱՐԱՐԱՏ,ՎԱՆԱՇԵՆ,"ԱՐԱՐԱՏ,ՎԱՆԱՇԵՆ",39.8978921,44.686152
ԱՐԱՐԱՏ,ԳԻՆԵՎԵՏ,"ԱՐԱՐԱՏ,ԳԻՆԵՎԵՏ",39.9322886,44.6260044
ԱՐԱՐԱՏ,ՏԱՓԵՐԱԿԱՆ,"ԱՐԱՐԱՏ,ՏԱՓԵՐԱԿԱՆ",39.9225214,44.5959118
ԱՐԱՐԱՏ,ՓՈՔՐ ՎԵԴԻ,"ԱՐԱՐԱՏ,ՓՈՔՐ ՎԵԴԻ",39.9004096,44.6039952
ԱՐԱՐԱՏ,ՈՍԿԵՏԱՓ,"ԱՐԱՐԱՏ,ՈՍԿԵՏԱՓ",39.8854255,44.6492604
ԱՐԱՐԱՏ,ԱՅԳԱՎԱՆ,"ԱՐԱՐԱՏ,ԱՅԳԱՎԱՆ",39.870744,44.6633815
ԱՐԱՐԱՏ,ԱՎՇԱՐ,"ԱՐԱՐԱՏ,ԱՎՇԱՐ",39.8539778,44.680936
ԱՐԱՐԱՏ,Գ.ԱՐԱՐԱՏ,"ԱՐԱՐԱՏ,Գ.ԱՐԱՐԱՏ",39.8511645,44.7015606613593
ԱՐԱՐԱՏ,ՍՈՒՐԵՆԱՎԱՆ,"ԱՐԱՐԱՏ,ՍՈՒՐԵՆԱՎԱՆ",39.7976077,44.7747752
ԱՐԱՐԱՏ,ԵՐԱՍԽ,"ԱՐԱՐԱՏ,ԵՐԱՍԽ",39.7398183,44.8282116
ԱՐԱՐԱՏ,ԵՂԵԳՆԱՎԱՆ,"ԱՐԱՐԱՏ,ԵՂԵԳՆԱՎԱՆ",39.8387467,44.6258832
ԱՐԱՐԱՏ,ԱՐՄԱՇ,"ԱՐԱՐԱՏ,ԱՐՄԱՇ",39.7645763,44.8074774
ԱՐԱՐԱՏ,ՆՈՅԱԿԵՐՏ,"ԱՐԱՐԱՏ,ՆՈՅԱԿԵՐՏ",39.8311381,44.6676385
ԱՐԱՐԱՏ,ԳՈՌԱՎԱՆ,"ԱՐԱՐԱՏ,ԳՈՌԱՎԱՆ",39.9079461,44.7285025
ԱՐԱՐԱՏ,ԴԱՇՏԱՔԱՐ,"ԱՐԱՐԱՏ,ԴԱՇՏԱՔԱՐ",39.9219563,44.7515225
ԱՐԱՐԱՏ,ՈՒՐՑԱՁՈՐ,"ԱՐԱՐԱՏ,ՈՒՐՑԱՁՈՐ",39.9190998,44.8226623
ԱՐԱՐԱՏ,ԼՈՒՍԱՇՈՂ,"ԱՐԱՐԱՏ,ԼՈՒՍԱՇՈՂ",39.8510208,44.9772408
ԱՐԱՐԱՏ,ԼԱՆՋԱՌ,"ԱՐԱՐԱՏ,ԼԱՆՋԱՌ",39.8260063,44.9718859831847
ԱՐԱՐԱՏ,ՈՒՐՑԱԼԱՆՋ,"ԱՐԱՐԱՏ,ՈՒՐՑԱԼԱՆՋ",39.82192975,44.9967897741908
ԱՐԱՐԱՏ,ՎԱՐԴԱՇԱՏ,"ԱՐԱՐԱՏ,ՎԱՐԴԱՇԱՏ",39.83031075,45.0252038174477
